Date,Key,NewCases,NewDeaths,NewMild,NewSevere,NewCritical,CurrentlyMild,CurrentlySevere,CurrentlyCritical
2020-01-15,AE,0,0,0,0,0,0,0,0
2020-01-16,AE,0,0,0,0,0,0,0,0
2020-01-17,AE,0,0,0,0,0,0,0,0
2020-01-18,AE,0,0,0,0,0,0,0,0
2020-01-19,AE,0,0,0,0,0,0,0,0
2020-01-20,AE,0,0,0,0,0,0,0,0
2020-01-21,AE,0,0,0,0,0,0,0,0
2020-01-22,AE,0,0,0,0,0,0,0,0
2020-01-23,AE,0,0,0,0,0,0,0,0
2020-01-24,AE,0,0,0,0,0,0,0,0
2020-01-25,AE,0,0,0,0,0,0,0,0
2020-01-26,AE,0,0,0,0,0,0,0,0
2020-01-27,AE,1,0,1,0,0,1,0,0
2020-01-28,AE,0,0,0,0,0,1,0,0
2020-01-29,AE,0,0,0,0,0,1,0,0
2020-01-30,AE,3,0,2,0,0,3,1,0
2020-01-31,AE,0,0,0,0,0,3,1,0
2020-02-01,AE,0,0,0,0,0,3,1,0
2020-02-02,AE,1,0,1,0,0,4,1,0
2020-02-03,AE,0,0,0,0,0,3,1,0
2020-02-04,AE,0,0,0,0,0,3,1,0
2020-02-05,AE,0,0,0,0,0,3,1,0
2020-02-06,AE,0,0,0,0,0,1,1,0
2020-02-07,AE,0,0,0,0,0,1,1,0
2020-02-08,AE,2,0,2,0,0,2,1,0
2020-02-09,AE,0,0,0,0,0,2,1,0
2020-02-10,AE,0,0,0,0,0,2,1,0
2020-02-11,AE,1,0,1,0,0,2,1,0
2020-02-12,AE,0,0,0,0,0,2,1,0
2020-02-13,AE,0,0,0,0,0,2,1,0
2020-02-14,AE,0,0,0,0,0,2,0,0
2020-02-15,AE,0,0,0,0,0,1,0,0
2020-02-16,AE,0,0,0,0,0,1,0,0
2020-02-17,AE,1,0,1,0,0,2,1,0
2020-02-18,AE,0,0,0,0,0,1,1,0
2020-02-19,AE,0,0,0,0,0,1,1,0
2020-02-20,AE,0,0,0,0,0,1,0,0
2020-02-21,AE,0,0,0,0,0,1,0,0
2020-02-22,AE,2,0,2,0,0,2,1,0
2020-02-23,AE,2,0,2,0,0,4,1,0
2020-02-24,AE,0,0,0,0,0,3,1,0
2020-02-25,AE,0,0,0,0,0,3,1,0
2020-02-26,AE,0,0,0,0,0,3,1,0
2020-02-27,AE,0,0,0,0,0,3,1,0
2020-02-28,AE,6,0,5,1,0,8,2,1
2020-02-29,AE,0,0,0,0,0,6,2,1
2020-03-01,AE,2,0,2,0,0,6,2,1
2020-03-02,AE,0,0,0,0,0,6,2,1
2020-03-04,AE,6,0,5,1,0,11,3,1
2020-03-06,AE,2,0,2,0,0,13,3,1
2020-03-08,AE,16,0,13,2,1,26,5,2
2020-03-10,AE,14,0,11,2,1,32,7,2
2020-03-11,AE,15,0,12,2,1,44,9,3
2020-03-13,AE,11,0,9,2,1,51,11,4
2020-03-15,AE,0,0,0,0,0,51,11,4
2020-03-16,AE,1,0,1,0,0,47,11,4
2020-03-17,AE,12,0,10,2,1,55,12,4
2020-03-18,AE,15,0,12,2,1,54,14,5
2020-03-19,AE,0,0,0,0,0,43,14,5
2020-03-20,AE,27,0,22,4,1,53,18,6
2020-03-21,AE,0,0,0,0,0,44,17,6
2020-03-22,AE,13,2,10,2,1,54,19,7
2020-03-23,AE,0,0,0,0,0,54,16,7
2020-03-24,AE,45,0,36,7,2,80,21,9
2020-03-25,AE,50,0,40,8,2,108,26,11
2020-03-26,AE,85,0,68,13,4,176,37,14
2020-03-27,AE,0,0,0,0,0,154,37,14
2020-03-28,AE,72,0,58,11,4,212,48,17
2020-03-29,AE,63,0,50,9,3,252,56,19
2020-03-30,AE,0,0,0,0,0,252,53,19
2020-03-31,AE,143,3,114,21,7,330,75,26
2020-01-15,AF,0,0,0,0,0,0,0,0
2020-01-16,AF,0,0,0,0,0,0,0,0
2020-01-17,AF,0,0,0,0,0,0,0,0
2020-01-18,AF,0,0,0,0,0,0,0,0
2020-01-19,AF,0,0,0,0,0,0,0,0
2020-01-20,AF,0,0,0,0,0,0,0,0
2020-01-21,AF,0,0,0,0,0,0,0,0
2020-01-22,AF,0,0,0,0,0,0,0,0
2020-01-23,AF,0,0,0,0,0,0,0,0
2020-01-24,AF,0,0,0,0,0,0,0,0
2020-01-25,AF,0,0,0,0,0,0,0,0
2020-01-26,AF,0,0,0,0,0,0,0,0
2020-01-27,AF,0,0,0,0,0,0,0,0
2020-01-28,AF,0,0,0,0,0,0,0,0
2020-01-29,AF,0,0,0,0,0,0,0,0
2020-01-30,AF,0,0,0,0,0,0,0,0
2020-01-31,AF,0,0,0,0,0,0,0,0
2020-02-01,AF,0,0,0,0,0,0,0,0
2020-02-02,AF,0,0,0,0,0,0,0,0
